CM_ÁÎÐÒ_À âèòoê=1107(121107) 3 ôeâpaëÿ 2020ã.s8 Ha÷.Kaäp=0   date=3 2 2020
                 1    ,       2    ,      3    ,      4    ,
     t           MMPTCT      MMPTCT      ÃPAÄ C      MMPTCT  t_ÁOPTOBOE   BÈTOK
 6:32:01.379         ~           ~           ~     740.27441  6:32:05.000  1107
 6:32:01.676         ~           ~      25.23614         ~    6:32:07.800  1107
 6:32:01.697         ~     739.42999         ~           ~    6:32:08.000  1107
 6:32:02.392   734.71979         ~           ~           ~    6:32:04.208  1107
 6:32:02.710         ~           ~           ~     740.27441  6:32:04.520  1107
 6:32:03.007         ~           ~      25.23614         ~    6:32:04.812  1107
 6:32:03.028         ~     734.78174         ~           ~    6:32:04.833  1107
 6:32:03.753   734.71979         ~           ~           ~    6:32:05.541  1107
 6:32:04.074         ~           ~           ~     740.27441  6:32:05.854  1107
 6:32:04.371         ~           ~      25.23614         ~    6:32:06.170  1107
 6:32:04.392         ~     734.78174         ~           ~    6:32:06.191  1107
 6:32:05.117   734.71979         ~           ~           ~    6:32:06.914  1107
 6:32:05.435         ~           ~           ~     740.27441  6:32:07.234  1107
 6:32:05.734         ~           ~      25.23614         ~    6:32:07.531  1107
 6:32:05.755         ~     734.78174         ~           ~    6:32:07.553  1107
 6:32:06.478   734.71979         ~           ~           ~    6:32:08.276  1107
 6:32:06.799         ~           ~           ~     740.27441  6:32:08.595  1107
 6:32:07.098         ~           ~      25.23614         ~    6:32:08.893  1107
 6:32:07.119         ~     739.42999         ~           ~    6:32:08.914  1107
 6:32:07.842   734.71979         ~           ~           ~    6:32:09.638  1107
 6:32:08.160         ~           ~           ~     740.27441  6:32:09.957  1107
 6:32:08.457         ~           ~      25.23614         ~    6:32:10.255  1107
 6:32:08.478         ~     734.78174         ~           ~    6:32:10.276  1107
 6:32:09.199   734.71979         ~           ~           ~    6:32:12.000  1107
 6:32:09.518         ~           ~           ~     740.27441  6:32:11.319  1107
 6:32:09.815         ~           ~      25.23614         ~    6:32:11.617  1107
